idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
50501,1,0,2,0,1,1,1,2,54,3,2,2,2,1,0
50502,2,0,3,1,1,1,.7,1,30,2,1,1,1,1,1
50502,2,0,2,0,1,1,1,2,53,3,2,2,2,1,0
50503,1,0,2,0,1,1,1,2,29,1,1,1,2,1,0
50504,1,0,2,0,1,1,1,2,23,1,1,1,2,1,0
50602,2,0,2,1,1,1,1,2,50,3,2,2,2,2,1
50603,1,0,1,0,1,1,2.5,3,16,1,1,1,1,1,0
50603,1,0,2,0,1,1,1,2,24,1,1,1,2,1,1
50902,2,2,2,1,2,2,2,3,32,2,2,2,1,2,1
51002,2,4,1,1,2,3,3,3,30,2,2,2,1,1,0
51101,1,0,2,1,1,1,1,2,70,3,2,2,2,1,0
51102,2,2,1,0,2,2,4,3,19,1,2,2,2,2,0
51102,2,0,2,1,1,1,1,2,60,3,2,2,2,1,1
51402,2,1,3,1,2,2,1.5,2,24,1,2,2,2,1,0
51702,2,,3,1,,,.8,1,54,3,3,4,1,1,1
51703,2,0,3,0,1,1,.8,1,18,1,1,1,1,1,1
51801,2,1,3,0,2,2,.3,1,31,2,2,2,2,1,1
51802,2,0,2,1,1,1,2,3,45,3,3,3,1,1,0
51803,2,0,1,1,1,1,5,3,22,1,1,1,1,2,1
51805,2,0,2,0,1,1,2,3,17,1,1,1,2,1,0
52101,2,0,3,0,1,1,.4,1,65,3,3,3,2,1,0
52201,2,0,3,1,1,1,.1,1,50,3,3,3,2,1,1
52304,1,0,3,0,1,1,.5,1,22,1,1,1,2,1,1
52305,1,0,3,0,1,1,.5,1,17,1,1,1,2,1,0
52502,2,0,3,1,1,1,.7,1,58,3,2,2,2,2,1
52503,1,0,3,0,1,1,.7,1,31,2,1,1,2,1,1
52606,1,0,1,1,1,1,2,3,21,1,1,1,1,1,1
52803,1,1,2,1,2,2,3,3,31,2,2,2,1,1,0
52805,1,0,2,1,1,1,3,3,29,1,1,1,1,1,0
52806,2,0,2,0,1,1,3,3,23,1,1,1,1,1,0
52902,2,3,1,1,2,3,1.7,2,35,2,2,2,1,1,1
53003,1,0,1,0,1,1,1.3,2,21,1,1,1,2,1,1
53401,1,1,1,1,2,2,1.5,2,27,1,2,2,1,1,1
53702,2,1,1,0,2,2,3,3,15,1,2,2,1,2,0
54102,2,2,1,1,2,2,.8,1,22,1,2,2,1,2,1
54301,1,0,1,1,1,1,.4,1,28,1,2,2,1,1,1
54404,1,0,1,0,1,1,1,2,17,1,1,1,1,1,0
54404,1,0,3,0,1,1,.6,1,18,1,1,1,2,1,0
54604,2,0,1,1,1,1,3.5,3,34,2,2,2,1,2,1
54703,2,0,1,0,1,1,2.3,3,17,1,1,1,1,1,0
54802,2,1,1,1,2,2,1.5,2,24,1,2,2,1,2,1
55003,2,0,1,1,1,1,1.3,2,19,1,1,1,2,1,1
55102,2,1,1,1,2,2,3,3,17,1,2,2,1,2,0
55203,1,0,1,1,1,1,.8,1,24,1,1,1,1,3,0
55602,2,2,1,1,2,2,2,3,38,2,2,2,1,1,1
55702,2,1,1,1,2,2,1.5,2,44,2,2,2,1,2,0
55703,2,1,3,0,2,2,.8,1,30,2,2,2,2,1,1
55802,2,0,3,1,1,1,.8,1,75,3,2,2,1,1,0
56003,1,,1,1,,,5,3,42,2,3,4,1,1,0
56102,2,0,1,1,1,1,2,3,36,2,2,2,1,1,1
56201,1,0,2,0,1,1,1,2,72,3,2,2,2,1,0
56702,2,4,1,1,2,3,1.5,2,29,1,2,2,1,2,1
56901,1,0,3,1,1,1,1.3,2,67,3,2,2,1,1,0
57001,2,2,3,0,2,2,2,3,26,1,2,2,2,2,0
57701,1,0,2,1,1,1,.5,1,67,3,2,2,1,1,0
57901,2,0,1,1,1,1,5,3,43,2,2,2,1,1,1
57903,1,0,1,0,1,1,5,3,19,1,1,1,1,1,1
57903,2,0,2,1,1,1,2.3,3,30,2,1,1,1,1,1
58002,2,0,2,1,1,1,1.3,2,46,3,1,1,1,2,0
58201,1,0,2,1,1,1,.7,1,55,3,2,2,1,1,0
58202,2,0,2,1,1,1,.7,1,55,3,2,2,1,2,1
58302,1,2,2,0,2,2,2,3,41,2,2,2,2,1,0
58303,2,2,2,0,2,2,2,3,40,2,2,2,2,2,1
58403,1,0,1,1,1,1,4,3,18,1,1,1,1,3,0
58602,2,2,1,1,2,2,2,3,21,1,2,2,1,1,1
58702,2,8,1,1,2,3,4.3,3,44,2,3,4,1,1,1
58901,2,3,1,1,2,3,1,2,37,2,2,2,1,2,1
59103,2,0,2,0,1,1,2,3,18,1,1,1,1,1,0
59201,1,2,2,0,2,2,1.3,2,36,2,2,2,2,1,0
59401,1,0,2,1,1,1,.7,1,70,3,2,2,1,1,0
59501,2,0,2,0,1,1,2.3,3,74,3,3,3,1,1,0
59601,2,0,3,1,1,1,.8,1,64,3,3,3,1,2,1
59602,2,0,1,0,1,1,1.7,2,18,1,1,1,2,1,1
59802,2,6,1,1,2,3,6.5,3,39,2,2,2,1,2,1
59904,1,0,3,0,1,1,1.8,3,33,2,1,1,2,3,0
60001,1,5,1,1,2,3,3,3,47,3,2,2,1,1,1
